"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'CIF (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,8890,737048
AT,AUSTRIA,0,0,455,88942
BE,BELGIUM,133020,5348361,205585,13707464
BR,BRAZIL,35825,3115583,78000,6999976
CN,CHINA,43150,2679740,98205,5367784
FI,FINLAND,49500,2905006,49500,2905006
FR,FRANCE,0,0,262875,14943940
DE,GERMANY,15055,4435886,16715,7893261
IN,INDIA,75,21777,8675,582917
ID,INDONESIA,0,0,5025,191225
IT,ITALY,304195,16917388,357735,20274811
JP,JAPAN,1070443,62168884,2017057,117080896
KR,"KOREA,REPUBLIC OF",423130,16089748,1390130,59710572
KW,KUWAIT,148500,5241640,915750,33666731
LA,LAO PDR,0,0,2,4500
MY,MALAYSIA,1748975,64957801,2465475,91555085
QA,QATAR,1384940,50260659,3468820,132433130
SA,SAUDI ARABIA,2274000,77262538,4452100,156484357
SG,SINGAPORE,1631466,57882419,2799686,102539389
TW,"TAIWAN, PROVINCE OF CHINA",616000,25238848,751407,30986220
AE,UNITED ARAB EMIRATES,1435500,51587437,3143250,115196687
GB,UNITED KINGDOM,96,158690,96,158690
US,UNITED STATES,1523070,657085055,2421721,697529428
SUM,SUM,12836940,1103357460,24917154,1611038059
