"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'CIF (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'CIF (Baht)')"
BE,BELGIUM,2000,350881,25820,2410530
CA,CANADA,0,0,8000,1427296
CN,CHINA,24000,4000337,179700,29395291
DE,GERMANY,5250,1018695,6155,1749612
HK,HONG KONG,1500,139600,1500,139600
ID,INDONESIA,7400,906102,32400,3553921
IT,ITALY,35750,2790870,85250,6023368
JP,JAPAN,1485413,114427461,3777038,291903336
KR,"KOREA,REPUBLIC OF",461850,28493192,1273500,76051263
MY,MALAYSIA,121500,6099561,167010,9307745
NL,NETHERLANDS,11000,819974,184250,13839421
NZ,NEW ZEALAND,662,255639,662,255639
SA,SAUDI ARABIA,148500,7694657,543100,28235803
SG,SINGAPORE,4718000,263437937,13548054,764270618
ZA,SOUTH AFRICA,99000,5005968,99000,5005968
TW,"TAIWAN, PROVINCE OF CHINA",69000,3995615,460060,28184567
TH,THAILAND,0,0,2000,154768
AE,UNITED ARAB EMIRATES,74250,3851365,456500,23508921
US,UNITED STATES,10584,1234612,22564,2646268
VN,VIETNAM,25500,8817027,47300,18065395
SUM,SUM,7301159,453339493,20919863,1306129330
