"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'CIF (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'CIF (Baht)')"
BE,BELGIUM,15886,2341095,15886,2341095
BR,BRAZIL,21,17344,21,17344
CN,CHINA,67352,3329771,67352,3329771
FR,FRANCE,28825,2649985,28825,2649985
DE,GERMANY,680,128993,680,128993
ID,INDONESIA,31,5967,31,5967
IT,ITALY,3385,481551,3385,481551
JP,JAPAN,187335,30104286,187335,30104286
KR,"KOREA,REPUBLIC OF",387890,20986514,387890,20986514
MY,MALAYSIA,122850,10104911,122850,10104911
MX,MEXICO,75,72408,75,72408
NL,NETHERLANDS,165440,16787585,165440,16787585
SA,SAUDI ARABIA,420750,15554344,420750,15554344
SG,SINGAPORE,232769,36912462,232769,36912462
ES,SPAIN,20,13260,20,13260
CH,SWITZERLAND,75,71695,75,71695
TW,"TAIWAN, PROVINCE OF CHINA",51784,3963419,51784,3963419
AE,UNITED ARAB EMIRATES,99000,3954461,99000,3954461
US,UNITED STATES,136314,27382195,136314,27382195
VN,VIETNAM,11000,1099857,11000,1099857
SUM,SUM,1931482,175962103,1931482,175962103
