"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'CIF (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16000,607399
AT,AUSTRIA,0,0,1375,114731
BE,BELGIUM,0,0,2364980,143622418
BR,BRAZIL,0,0,11000,1001750
CA,CANADA,0,0,41912,3205286
CN,CHINA,38060,2682946,2102572,98149834
FR,FRANCE,6875,803318,74767,6310665
DE,GERMANY,49827,14540084,688007,84739990
HK,HONG KONG,0,0,20000,3252336
IN,INDIA,0,0,563500,25266113
ID,INDONESIA,0,0,567526,26101695
IR,IRAN (ISLAMIC REPUBLIC OF),445500,18266166,1633500,67122505
IL,ISRAEL,0,0,60,5214
IT,ITALY,0,0,25,10342
JP,JAPAN,1586739,110015768,13357669,862226207
KR,"KOREA,REPUBLIC OF",0,0,830067,38103376
KW,KUWAIT,297000,12341579,2920600,123425697
MY,MALAYSIA,297500,12351765,3687575,171749132
MX,MEXICO,0,0,387,78708
NL,NETHERLANDS,1600,1051050,106600,9612985
QA,QATAR,983116,42330869,21876250,1006198678
SA,SAUDI ARABIA,1567250,66272956,15309375,665342600
SG,SINGAPORE,1840140,80439099,24640891,1120243286
SE,SWEDEN,0,0,22000,1719647
CH,SWITZERLAND,0,0,16730,922577
TW,"TAIWAN, PROVINCE OF CHINA",2000,267925,35075,1682028
TH,THAILAND,138,8842,22138,951414
AE,UNITED ARAB EMIRATES,764500,31540224,17885631,754624667
GB,UNITED KINGDOM,0,0,0,396
US,UNITED STATES,0,0,338854,21524171
SUM,SUM,7880245,392912591,109135066,5237915847
