"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'CIF (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'CIF (Baht)')"
CN,CHINA,5200,506538,479400,31987215
IN,INDIA,0,0,100,3904
ID,INDONESIA,15600,1022755,15600,1022755
JP,JAPAN,4550,485008,62650,3963018
KR,"KOREA,REPUBLIC OF",0,0,3975,209748
NL,NETHERLANDS,0,0,78,51774
SA,SAUDI ARABIA,99000,3448805,816750,27940860
SG,SINGAPORE,51000,2147782,661500,24078615
TW,"TAIWAN, PROVINCE OF CHINA",0,0,5150,446367
AE,UNITED ARAB EMIRATES,0,0,50,1896
US,UNITED STATES,0,0,22862,2195947
VN,VIETNAM,0,0,200,9763
SUM,SUM,175350,7610888,2068315,91911862
