"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2013', 'Quantity')","('Nov 2013', 'CIF (Baht)')","('Jan - Nov 2013', 'Quantity')","('Jan - Nov 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,100100,9928087
CA,CANADA,0,0,500,54927
CN,CHINA,26400,343723,284800,22180735
FR,FRANCE,0,0,23100,2121342
DE,GERMANY,0,0,59919,11614702
IN,INDIA,0,0,6300,657766
ID,INDONESIA,0,0,300,19424
IT,ITALY,0,0,15125,3072731
JP,JAPAN,0,0,22220,3004396
KR,"KOREA,REPUBLIC OF",0,0,189700,15010349
MY,MALAYSIA,0,0,8675,1408308
SG,SINGAPORE,0,0,433525,19111524
SE,SWEDEN,0,0,23100,3534762
CH,SWITZERLAND,0,0,0,1757
TH,THAILAND,0,0,800,73317
AE,UNITED ARAB EMIRATES,37700,1989934,608222,30016632
GB,UNITED KINGDOM,0,0,300,27819
US,UNITED STATES,16000,1299900,455055,33086340
VN,VIETNAM,0,0,5000,623305
SUM,SUM,80100,3633557,2236741,155548223
