"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'CIF (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'CIF (Baht)')"
CA,CANADA,0,0,124450,5170114
CN,CHINA,0,0,84738,3041678
DE,GERMANY,3,769,103,53632
HK,HONG KONG,0,0,25501,992954
JP,JAPAN,1100,104252,46129,4073357
KR,"KOREA,REPUBLIC OF",1753,172086,281003,16371009
NL,NETHERLANDS,22000,2449612,178750,11208506
QA,QATAR,0,0,229500,8216111
SA,SAUDI ARABIA,0,0,1388250,55746879
SG,SINGAPORE,2225360,113394791,16156545,803261940
ES,SPAIN,26350,2693022,249100,18102048
TH,THAILAND,33780,1702985,33780,1702985
AE,UNITED ARAB EMIRATES,415250,16694519,5701125,220893543
US,UNITED STATES,657175,31519496,7692321,326404503
VN,VIETNAM,0,0,75,2270
SUM,SUM,3382771,168731532,32191370,1475241529
