"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'CIF (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,0,5500
BR,BRAZIL,0,0,1660,289636
CN,CHINA,11200,1057743,25300,2333916
FR,FRANCE,1594,399987,129194,13059444
DE,GERMANY,875,155232,24122,6764553
HK,HONG KONG,0,0,0,1300
IN,INDIA,0,0,3215,294539
JP,JAPAN,80524,6402554,603063,49949143
KR,"KOREA,REPUBLIC OF",183760,13726053,2523269,169153192
MY,MALAYSIA,0,0,0,2500
NL,NETHERLANDS,0,0,0,42105
RU,RUSSIAN FEDERATION,0,0,10125,2038052
SG,SINGAPORE,180,17581,280,32914
TW,"TAIWAN, PROVINCE OF CHINA",2000,171861,3000,263625
US,UNITED STATES,0,0,4126,1145573
SUM,SUM,280133,21931011,3327354,245375992
