"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'CIF (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16250,794267
BE,BELGIUM,5375,484661,5375,484661
CN,CHINA,7000,624710,54000,4994526
DE,GERMANY,30,8315,48,21143
IN,INDIA,0,0,275,28080
ID,INDONESIA,15325,1566247,15425,1592897
IT,ITALY,49500,3325882,49500,3325882
JP,JAPAN,1270750,95229516,2375191,181036438
KR,"KOREA,REPUBLIC OF",1017425,60429201,1832225,105545433
MY,MALAYSIA,99800,5009797,252800,12591224
NL,NETHERLANDS,122375,8219177,147125,9866121
SA,SAUDI ARABIA,321800,13645476,420800,17846468
SG,SINGAPORE,4530619,224986459,7581137,384692378
CH,SWITZERLAND,0,0,3,12773
TW,"TAIWAN, PROVINCE OF CHINA",14050,1156535,18050,1469012
AE,UNITED ARAB EMIRATES,346500,14791465,495000,21373994
GB,UNITED KINGDOM,1300,438143,1300,438143
US,UNITED STATES,251000,19782314,251000,19782314
SUM,SUM,8052849,449697898,13515504,765895754
