"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'CIF (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'CIF (Baht)')"
FR,FRANCE,0,0,4125,229556
JP,JAPAN,0,0,3403,442362
KR,"KOREA,REPUBLIC OF",0,0,24400,1180375
SA,SAUDI ARABIA,0,0,74075,3031711
SG,SINGAPORE,724000,29622566,3591000,151260851
SE,SWEDEN,1375,90457,1375,90457
AE,UNITED ARAB EMIRATES,48100,2236913,209300,9686144
GB,UNITED KINGDOM,0,0,2000,240668
US,UNITED STATES,10160,552470,255007,18219955
SUM,SUM,783635,32502406,4164685,184382079
