"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'CIF (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,19000,1804589
CA,CANADA,0,0,20400,2933473
DE,GERMANY,2500,355056,2500,355056
IT,ITALY,0,0,24750,2666759
JP,JAPAN,0,0,7000,380626
KR,"KOREA,REPUBLIC OF",0,0,10106,1076943
SG,SINGAPORE,0,0,25500,1147869
AE,UNITED ARAB EMIRATES,0,0,11000,449814
US,UNITED STATES,20400,3045885,20400,3045885
SUM,SUM,22900,3400941,140656,13861014
