"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2021', 'Quantity')","('Dec 2021', 'CIF (Baht)')","('Jan - Dec 2021', 'Quantity')","('Jan - Dec 2021', 'CIF (Baht)')"
BR,BRAZIL,0,0,2040,319519
CN,CHINA,13682,1111646,92894,5922110
FR,FRANCE,11350,1555219,30739,4663968
DE,GERMANY,1400,245761,10126,2105877
IN,INDIA,14400,820963,317510,12227238
IT,ITALY,0,0,1025,257197
JP,JAPAN,82649,5263983,663169,38267094
KR,"KOREA,REPUBLIC OF",310390,19397582,3227045,155922219
MY,MALAYSIA,0,0,78386,4306415
NL,NETHERLANDS,0,0,2,21465
RU,RUSSIAN FEDERATION,0,0,8250,1402207
US,UNITED STATES,0,0,17682,2620401
SUM,SUM,433871,28395154,4448868,228035710
