"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2018', 'Quantity')","('Sept 2018', 'CIF (Baht)')","('Jan - Sept 2018', 'Quantity')","('Jan - Sept 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1106,233947
AT,AUSTRIA,270000,16539444,916250,57173618
BE,BELGIUM,228252,14715096,1009277,63401895
BR,BRAZIL,0,0,11143,1876215
CA,CANADA,0,0,4000,595338
CN,CHINA,88000,7654685,539891,48425342
FR,FRANCE,93625,5471021,1172125,65077183
DE,GERMANY,77166,7010340,503172,39460433
HK,HONG KONG,0,0,0,5010
IN,INDIA,18,2680,264,52783
ID,INDONESIA,775,64668,47762,4863478
IT,ITALY,11600,1359510,36350,3621390
JP,JAPAN,843828,59819533,7228528,514718766
KR,"KOREA,REPUBLIC OF",871100,44535094,7358220,366314165
MY,MALAYSIA,64540,2809107,331893,14816157
NL,NETHERLANDS,222750,16457375,826487,59287330
NO,NORWAY,0,0,5,1720
SA,SAUDI ARABIA,495000,22153778,3019510,132019060
SG,SINGAPORE,3822525,196601408,38494847,1810842170
ES,SPAIN,0,0,10478,878964
SE,SWEDEN,0,0,108,175410
TW,"TAIWAN, PROVINCE OF CHINA",133511,6479887,1762300,83488394
AE,UNITED ARAB EMIRATES,198025,8958906,2419093,104715070
GB,UNITED KINGDOM,1200,447409,1200,447409
US,UNITED STATES,16390,2156513,269139,27479728
SUM,SUM,7438305,413236454,65963148,3399970975
