"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'CIF (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,387,99512
AT,AUSTRIA,25,46787,1439,2031769
BE,BELGIUM,2,1094,38897,6745147
BZ,BELIZE,0,0,955,338248
BR,BRAZIL,0,0,3056,1106254
CA,CANADA,5,67479,8487,3124695
CN,CHINA,76457,3276483,863468,45552558
CZ,CZECH REPUBLIC,0,0,721,254628
DK,DENMARK,0,0,2,13283
SZ,ESWATINI,0,0,500,98181
FI,FINLAND,0,0,29,32264
FR,FRANCE,20235,966632,250008,15914143
DE,GERMANY,11000,2793118,143857,30205190
HK,HONG KONG,79,65153,40180,10373337
IN,INDIA,12,1394,31100,3339305
ID,INDONESIA,0,0,25672,2278579
IE,IRELAND,0,0,25,56954
IL,ISRAEL,0,0,4000,263071
IT,ITALY,0,0,7150,1009163
JP,JAPAN,187593,28708356,1953243,322323600
KR,"KOREA,REPUBLIC OF",454500,22029965,4491385,246768256
MY,MALAYSIA,126780,8124074,1278852,97917428
NL,NETHERLANDS,100300,8295238,1322776,110114667
NZ,NEW ZEALAND,50,37190,74,58496
NO,NORWAY,0,0,761,289398
SA,SAUDI ARABIA,0,0,2227649,86068918
SG,SINGAPORE,41363,4962752,588071,62662038
CH,SWITZERLAND,5,9696,2064,1389768
TW,"TAIWAN, PROVINCE OF CHINA",24100,2476852,458487,37999687
TH,THAILAND,0,0,6173,553654
AE,UNITED ARAB EMIRATES,618750,22019209,5024250,193064463
GB,UNITED KINGDOM,0,0,83175,9419196
US,UNITED STATES,35351,6099924,1197372,173867821
VN,VIETNAM,10000,690443,71696,5555324
SUM,SUM,1706607,110671839,20125961,1470888995
