"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'CIF (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'CIF (Baht)')"
AU,AUSTRALIA,25,10831,25,10831
BE,BELGIUM,52500,2829016,77250,4108531
BR,BRAZIL,500700,19814551,1108750,45381309
CA,CANADA,0,0,116650,2935163
CN,CHINA,103652,6432490,220567,16082110
FI,FINLAND,0,0,49400,2456859
FR,FRANCE,22000,1467459,44000,3102579
DE,GERMANY,290456,17664229,719406,44810740
IN,INDIA,2000,162631,2000,162631
ID,INDONESIA,7025,1635869,12000,2518531
IL,ISRAEL,20800,1791347,20800,1791347
IT,ITALY,6600,1466340,19116,3813490
JP,JAPAN,242004,20195143,596833,46904148
KR,"KOREA,REPUBLIC OF",261801,11308990,930171,40169669
KW,KUWAIT,693000,22316078,2227500,69836804
LU,LUXEMBOURG,16250,2024507,30000,3334228
MY,MALAYSIA,7523480,323678709,14695152,635383765
NL,NETHERLANDS,256000,13917732,818995,42760208
NO,NORWAY,102280,4629961,208840,10287333
QA,QATAR,1706500,72136453,4256500,165643987
SA,SAUDI ARABIA,4246650,172006159,11103950,427116321
SG,SINGAPORE,3074925,143539644,6792425,300253651
SI,SLOVENIA,0,0,1,973
ES,SPAIN,77770,5158504,157655,10483565
TW,"TAIWAN, PROVINCE OF CHINA",0,0,18853,1725336
TT,TRINIDAD AND TOBAGO,23800,114775,23800,114775
AE,UNITED ARAB EMIRATES,346500,13923902,1485000,57099455
GB,UNITED KINGDOM,0,1822,22500,1809726
US,UNITED STATES,313518,16949127,772624,40395134
VN,VIETNAM,120102,5226974,319002,16829855
SUM,SUM,20010338,880403243,46849765,1997323054
