"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
CA,CANADA,10000,1400000,16250,2333688
CN,CHINA,29008,3485699,80669,11862890
DE,GERMANY,0,0,1015,411943
HK,HONG KONG,0,0,1,96
IN,INDIA,26,2614,14821,825113
JP,JAPAN,7000,935404,44292,7051925
TR,TÜRKIYE,0,0,1080,61735
GB,UNITED KINGDOM,347,188382,623,321860
US,UNITED STATES,0,0,123,126126
SUM,SUM,46381,6012099,158874,22995376
