"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'CIF (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'CIF (Baht)')"
BE,BELGIUM,2500,281371,2500,281371
CN,CHINA,12000,959110,47000,4077558
DE,GERMANY,0,0,300,22398
IN,INDIA,103600,8935053,105600,9159567
ID,INDONESIA,0,0,100,666
IT,ITALY,2750,495917,2750,495917
JP,JAPAN,30000,3581067,31400,4284923
KR,"KOREA,REPUBLIC OF",0,0,24700,2180982
MY,MALAYSIA,0,0,1375,436102
NZ,NEW ZEALAND,50,15511,50,15511
SG,SINGAPORE,0,0,280420,14250814
SE,SWEDEN,24500,4812676,24825,5001808
TH,THAILAND,0,0,50,11759
AE,UNITED ARAB EMIRATES,37750,2135064,101450,5627733
US,UNITED STATES,16000,1252715,120459,8365306
SUM,SUM,229150,22468484,742979,54212415
