"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'CIF (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'CIF (Baht)')"
CN,CHINA,341924,19328340,341924,19328340
HK,HONG KONG,100,15301,100,15301
IN,INDIA,1100,108304,1100,108304
ID,INDONESIA,40500,2954763,40500,2954763
IL,ISRAEL,200,39875,200,39875
JP,JAPAN,490500,25811531,490500,25811531
KR,"KOREA,REPUBLIC OF",1051350,37439264,1051350,37439264
MY,MALAYSIA,44804,4123189,44804,4123189
SA,SAUDI ARABIA,1251750,38791585,1251750,38791585
SG,SINGAPORE,421010,14883820,421010,14883820
TW,"TAIWAN, PROVINCE OF CHINA",65020,2639272,65020,2639272
AE,UNITED ARAB EMIRATES,22000,668380,22000,668380
US,UNITED STATES,18641,1560880,18641,1560880
SUM,SUM,3748899,148364504,3748899,148364504
