"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'CIF (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'CIF (Baht)')"
BE,BELGIUM,13940,1492482,13940,1492482
BR,BRAZIL,382,132544,382,132544
CA,CANADA,8,77178,8,77178
CN,CHINA,172120,7797317,172120,7797317
DK,DENMARK,2,12948,2,12948
FR,FRANCE,5025,446093,5025,446093
DE,GERMANY,539,259601,539,259601
IT,ITALY,1020,119631,1020,119631
JP,JAPAN,140395,24760594,140395,24760594
KR,"KOREA,REPUBLIC OF",158475,8383928,158475,8383928
MY,MALAYSIA,74220,6161407,74220,6161407
NL,NETHERLANDS,80000,7099599,80000,7099599
SA,SAUDI ARABIA,396000,15466887,396000,15466887
SG,SINGAPORE,63250,6097105,63250,6097105
ES,SPAIN,13925,1161904,13925,1161904
CH,SWITZERLAND,1350,846799,1350,846799
TW,"TAIWAN, PROVINCE OF CHINA",189750,8468912,189750,8468912
GB,UNITED KINGDOM,30700,3848878,30700,3848878
US,UNITED STATES,134767,22910956,134767,22910956
VN,VIETNAM,7000,543698,7000,543698
SUM,SUM,1482868,116088461,1482868,116088461
