"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'CIF (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'CIF (Baht)')"
BR,BRAZIL,0,0,1510,567387
CN,CHINA,11200,1076447,13184,1308871
FR,FRANCE,1981,374073,39222,3654315
DE,GERMANY,525,97638,11177,3518641
JP,JAPAN,74436,5568920,274294,21203417
KR,"KOREA,REPUBLIC OF",313050,23357957,858128,67793212
RU,RUSSIAN FEDERATION,0,0,3375,741750
TW,"TAIWAN, PROVINCE OF CHINA",2000,178380,2000,178380
GB,UNITED KINGDOM,0,0,180,55998
US,UNITED STATES,362,46248,362,46248
SUM,SUM,403554,30699663,1203432,99068219
