"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'CIF (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,593020,22567312
AT,AUSTRIA,0,0,1375,101900
BE,BELGIUM,173000,9538457,544000,29641547
CN,CHINA,171476,13577628,1028547,68757618
CZ,CZECH REPUBLIC,1,887,1,887
FI,FINLAND,15625,1006118,120125,7408714
DE,GERMANY,0,0,26260,673926
IN,INDIA,1500,157928,5020,541198
IL,ISRAEL,0,0,38000,2592042
IT,ITALY,0,0,47,20257
JP,JAPAN,377753,21667778,1953301,113438023
KR,"KOREA,REPUBLIC OF",601750,26868069,2643050,120914898
MY,MALAYSIA,69175,8903033,364944,46221747
MX,MEXICO,4080,347087,4080,347087
SA,SAUDI ARABIA,247500,9995410,1535750,61452989
SG,SINGAPORE,153090,8658941,867330,44653427
ZA,SOUTH AFRICA,0,0,10,4603
TW,"TAIWAN, PROVINCE OF CHINA",48000,2398616,246200,12077051
TH,THAILAND,0,0,50,8542
AE,UNITED ARAB EMIRATES,1375,66550,2175,105222
US,UNITED STATES,17216,1333073,113534,9601342
SUM,SUM,1881541,104519575,10086819,541130332
