"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'CIF (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2442246
CN,CHINA,154000,8710996,183300,10794779
HK,HONG KONG,34974,2956411,61602,5753705
JP,JAPAN,0,0,4006,248701
KR,"KOREA,REPUBLIC OF",74800,5395638,541440,37483617
MY,MALAYSIA,5600,362010,10600,674710
NZ,NEW ZEALAND,631,379177,631,379177
SG,SINGAPORE,24130,2213312,475398,29560247
SE,SWEDEN,46000,3630043,112000,8899228
AE,UNITED ARAB EMIRATES,151998,7629387,543698,26015966
GB,UNITED KINGDOM,0,0,17250,1888151
US,UNITED STATES,50714,2868782,416711,26464107
VN,VIETNAM,20039,1179896,163089,9618771
SUM,SUM,562886,35325652,2553725,160223405
