"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
AU,AUSTRALIA,16000,711320,16000,711320
BE,BELGIUM,200220,11662903,200220,11662903
BR,BRAZIL,331375,28493590,331375,28493590
CA,CANADA,3742,476287,3742,476287
CN,CHINA,38179,2313705,38179,2313705
FR,FRANCE,11000,693574,11000,693574
DE,GERMANY,19952,9912551,19952,9912551
IT,ITALY,668295,42039838,668295,42039838
JP,JAPAN,799670,49754087,799670,49754087
KR,"KOREA,REPUBLIC OF",697800,30831876,697800,30831876
KW,KUWAIT,148500,6389705,148500,6389705
MY,MALAYSIA,667025,28752571,667025,28752571
OM,OMAN,495000,20948210,495000,20948210
QA,QATAR,1069500,46897118,1069500,46897118
SA,SAUDI ARABIA,807780,34924237,807780,34924237
SG,SINGAPORE,832350,38672365,832350,38672365
TW,"TAIWAN, PROVINCE OF CHINA",99901,5212277,99901,5212277
AE,UNITED ARAB EMIRATES,50875,2552510,50875,2552510
US,UNITED STATES,1431617,76445742,1431617,76445742
SUM,SUM,8388781,437684466,8388781,437684466
