"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'CIF (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'CIF (Baht)')"
AU,AUSTRALIA,2,2183,952,428199
AT,AUSTRIA,529,329272,64454,8915852
BE,BELGIUM,0,0,7,1097
BR,BRAZIL,75,56164,75,56164
BN,BRUNEI DARUSSALAM,0,0,1,300
CN,CHINA,494078,34976669,18008412,961399647
DK,DENMARK,0,0,1,1887
FI,FINLAND,0,0,0,400
FR,FRANCE,0,0,4841,1052026
DE,GERMANY,34000,4819870,217534,30032584
HK,HONG KONG,33,6520,212,77957
IN,INDIA,78075,4854150,1023482,43343382
ID,INDONESIA,31403,3238208,337404,37084307
IT,ITALY,1000,231378,6050,767532
JP,JAPAN,630744,58942680,6959613,520043751
KR,"KOREA,REPUBLIC OF",937580,50611621,9999191,551355947
LV,LATVIA,0,0,1000,118306
LT,LITHUANIA,0,0,946,145739
MY,MALAYSIA,30224,5129287,870567,76707751
MX,MEXICO,25,65777,2080,1436741
NL,NETHERLANDS,0,0,445600,48941658
NZ,NEW ZEALAND,0,0,8100,809020
OM,OMAN,374000,13288791,4309250,177542209
PH,PHILIPPINES,0,0,100,19978
SA,SAUDI ARABIA,1762163,68439988,19243258,848054427
SG,SINGAPORE,1029875,42208459,6814563,329502841
SK,SLOVAKIA,1,737,1,737
ZA,SOUTH AFRICA,0,0,24774,1138957
CH,SWITZERLAND,0,0,100,38234
TW,"TAIWAN, PROVINCE OF CHINA",39926,4884562,528757,47236978
TH,THAILAND,340,51528,640,93870
AE,UNITED ARAB EMIRATES,1237500,46286653,10868101,468454062
GB,UNITED KINGDOM,2,2342,38,72673
US,UNITED STATES,37,38094,71246,18014866
VN,VIETNAM,15975,973087,1850660,73363148
SUM,SUM,6697587,339438020,81662010,4246253227
