"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'CIF (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,5341,772831
AT,AUSTRIA,0,0,220,156625
BE,BELGIUM,248612,12237171,1881011,93959273
BZ,BELIZE,0,0,60,39660
BR,BRAZIL,0,0,3500,893625
KH,CAMBODIA,25,3861,25,3861
CN,CHINA,1457766,65749719,11060250,560836655
CZ,CZECH REPUBLIC,0,0,30,47985
FI,FINLAND,23375,1426754,170741,10668102
FR,FRANCE,27820,1452274,204985,10612794
DE,GERMANY,16011,5489385,90046,25714435
HK,HONG KONG,27,8714,473,267964
IN,INDIA,289455,10820201,4086314,143961016
ID,INDONESIA,18800,1291838,227896,24776403
IL,ISRAEL,48000,3307609,162095,11662293
IT,ITALY,5900,375537,93658,8855847
JP,JAPAN,1004032,75083146,12244523,820601967
KR,"KOREA,REPUBLIC OF",2883609,132644899,18366130,863351552
KW,KUWAIT,0,0,50,17832
MY,MALAYSIA,118008,15571677,1030825,127318678
NL,NETHERLANDS,30000,2959935,435628,39752837
NZ,NEW ZEALAND,500,76519,740,394111
PH,PHILIPPINES,0,0,104,23921
QA,QATAR,0,0,16500,695900
SA,SAUDI ARABIA,4902580,182281383,45042967,1583330601
SG,SINGAPORE,1614158,81556817,14964137,762146385
ZA,SOUTH AFRICA,0,0,742500,27075961
ES,SPAIN,7000,70700,18100,1078820
SE,SWEDEN,0,0,25000,956625
TW,"TAIWAN, PROVINCE OF CHINA",86775,3260393,525879,24167793
TH,THAILAND,20000,1054508,96475,4553215
TR,TÜRKIYE,75,8325,1470,195147
UA,UKRAINE,0,0,8250,341359
AE,UNITED ARAB EMIRATES,1076200,37668873,3141435,115853054
GB,UNITED KINGDOM,0,0,2803,207692
US,UNITED STATES,52200,6176771,598796,51537446
VN,VIETNAM,248317,9284328,475404,19132362
SUM,SUM,14179245,649861337,115724361,5335962627
