"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'CIF (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1090,197241
AT,AUSTRIA,0,0,14,15994
BE,BELGIUM,0,0,171325,10266717
BR,BRAZIL,722500,35706632,11535525,561592555
CA,CANADA,43800,658481,297835,2929394
CN,CHINA,32434,1708798,1081526,54215008
CZ,CZECH REPUBLIC,0,0,86,28620
DK,DENMARK,0,0,500,73119
EG,EGYPT,0,0,50,15752
FI,FINLAND,99000,5307316,568800,31259121
FR,FRANCE,6,4020,111031,8116472
DE,GERMANY,347303,20649839,4053032,270867131
HK,HONG KONG,0,0,18315,49920
IN,INDIA,175,23347,100830,3261838
ID,INDONESIA,1250,200275,20262,6614009
IL,ISRAEL,22000,1734381,88800,5981057
IT,ITALY,5150,1315638,82060,9959811
JP,JAPAN,185246,15208494,1954075,165580051
KR,"KOREA,REPUBLIC OF",303012,13160200,3187576,155590109
KW,KUWAIT,346500,9008867,4158000,130078277
LU,LUXEMBOURG,19150,2122854,194375,23073668
MY,MALAYSIA,4491512,137293011,52929016,1830840256
NL,NETHERLANDS,320440,17485169,3368747,199666241
NO,NORWAY,58990,3089729,433210,23660098
PT,PORTUGAL,39,27384,39,27384
QA,QATAR,1198500,35586271,11347725,367781601
RU,RUSSIAN FEDERATION,0,0,1,1165
SA,SAUDI ARABIA,3012750,88082607,36763050,1210830944
SG,SINGAPORE,1765191,58540786,22921490,847588761
LK,SRI LANKA,0,0,0,2862
CH,SWITZERLAND,740,137230,3340,606135
TW,"TAIWAN, PROVINCE OF CHINA",600,42567,50759,4038973
TH,THAILAND,0,0,130001,4841171
AE,UNITED ARAB EMIRATES,74250,2095786,1453300,47299650
GB,UNITED KINGDOM,20000,1565959,59516,5744938
US,UNITED STATES,300611,9183334,5169569,187865871
VN,VIETNAM,4875,500155,39827,4036145
SUM,SUM,13376024,460439130,162294697,6174598059
