"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
CN,CHINA,4000,395014,4000,395014
JP,JAPAN,5500,587114,5500,587114
KR,"KOREA,REPUBLIC OF",303300,28307571,303300,28307571
NL,NETHERLANDS,35750,2141989,35750,2141989
QA,QATAR,25500,1101525,25500,1101525
SA,SAUDI ARABIA,114450,6173290,114450,6173290
SG,SINGAPORE,1347555,79915074,1347555,79915074
ES,SPAIN,44000,3998535,44000,3998535
AE,UNITED ARAB EMIRATES,496375,22835607,496375,22835607
US,UNITED STATES,432650,22745674,432650,22745674
SUM,SUM,2809080,168201393,2809080,168201393
