"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
CN,CHINA,98020,4909102,101095,5024132
FR,FRANCE,11000,1643057,11000,1643057
HK,HONG KONG,5,5339,5,5339
IT,ITALY,19251,3186521,19251,3186521
JP,JAPAN,25500,360086,50220,667398
KR,"KOREA,REPUBLIC OF",24000,1724836,24000,1724836
MY,MALAYSIA,1000,65898,1000,65898
SG,SINGAPORE,0,0,11,10785
GB,UNITED KINGDOM,0,0,12,9027
SUM,SUM,178776,11894839,206594,12336993
