"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'CIF (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'CIF (Baht)')"
CN,CHINA,24000,1940382,35000,3118448
DE,GERMANY,300,22398,300,22398
IN,INDIA,0,0,2000,224514
ID,INDONESIA,100,666,100,666
JP,JAPAN,450,271742,1400,703856
KR,"KOREA,REPUBLIC OF",24700,2180982,24700,2180982
MY,MALAYSIA,0,0,1375,436102
SG,SINGAPORE,280420,14250814,280420,14250814
SE,SWEDEN,325,189132,325,189132
TH,THAILAND,50,11759,50,11759
AE,UNITED ARAB EMIRATES,37700,2097198,63700,3492669
US,UNITED STATES,83503,4923008,104459,7112591
SUM,SUM,451548,25888081,513829,31743931
