"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2012', 'Quantity')","('Aug 2012', 'CIF (Baht)')","('Jan - Aug 2012', 'Quantity')","('Jan - Aug 2012', 'CIF (Baht)')"
AT,AUSTRIA,0,0,103,28597
BE,BELGIUM,38000,4174068,95000,10296170
CN,CHINA,0,0,16000,1686862
JP,JAPAN,132925,13676565,1247366,125768962
KR,"KOREA,REPUBLIC OF",34525,1671827,215395,11931024
MY,MALAYSIA,5500,444405,17750,1444265
QA,QATAR,0,0,82500,3599950
SG,SINGAPORE,0,0,9000,1461919
TW,"TAIWAN, PROVINCE OF CHINA",48000,2470332,416000,27657970
TH,THAILAND,0,0,800,118300
US,UNITED STATES,0,0,100,35793
VN,VIETNAM,0,0,50,49299
SUM,SUM,258950,22437197,2100064,184079111
