"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2013', 'Quantity')","('Aug 2013', 'CIF (Baht)')","('Jan - Aug 2013', 'Quantity')","('Jan - Aug 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1100,236038
BE,BELGIUM,49500,2542402,528101,29267975
BR,BRAZIL,0,0,18000,1016922
CA,CANADA,0,0,29000,2108166
CN,CHINA,42024,1942370,267775,14211700
FR,FRANCE,0,0,22000,1745746
DE,GERMANY,21000,1807603,151502,13126700
HK,HONG KONG,1740,172811,2104,259167
ID,INDONESIA,15400,407297,58838,3808570
IT,ITALY,0,0,25440,3270927
JP,JAPAN,51652,4295208,637644,53222011
KR,"KOREA,REPUBLIC OF",435800,22038206,1615822,81400475
MY,MALAYSIA,309769,11900579,1661657,68277857
MX,MEXICO,0,0,25101,3092291
NL,NETHERLANDS,0,0,1,1487
SG,SINGAPORE,0,0,69368,2764054
SE,SWEDEN,0,0,0,5481
CH,SWITZERLAND,0,0,30000,3346881
TW,"TAIWAN, PROVINCE OF CHINA",164000,8878939,837275,48735937
GB,UNITED KINGDOM,0,0,150,62821
US,UNITED STATES,121795,13535828,293520,30388553
VN,VIETNAM,56230,1085877,463260,8552203
SUM,SUM,1268910,68607120,6737658,368901962
