"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'CIF (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'CIF (Baht)')"
AT,AUSTRIA,0,0,5500,476887
CN,CHINA,3700,397313,104100,10080309
HK,HONG KONG,0,0,590,28372
JP,JAPAN,156000,9179200,1062400,66073571
KR,"KOREA,REPUBLIC OF",33000,1855866,216500,12638896
SE,SWEDEN,24750,1388856,24750,1388856
TW,"TAIWAN, PROVINCE OF CHINA",11000,1063257,22000,2165306
AE,UNITED ARAB EMIRATES,26000,1174348,182000,8703660
US,UNITED STATES,33431,2043858,469072,30565507
VN,VIETNAM,0,0,184575,12302723
SUM,SUM,287881,17102698,2271487,144424087
