"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'CIF (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'CIF (Baht)')"
AU,AUSTRALIA,3768,198327,3768,198327
BE,BELGIUM,105250,3994425,105250,3994425
BR,BRAZIL,300,32508,300,32508
CA,CANADA,50000,1260807,50000,1260807
CN,CHINA,132000,8180853,132000,8180853
ID,INDONESIA,183750,8972946,183750,8972946
JP,JAPAN,28000,3359816,28000,3359816
KR,"KOREA,REPUBLIC OF",36000,1277584,36000,1277584
KW,KUWAIT,173250,4158158,173250,4158158
LA,LAO PDR,30000,473436,30000,473436
QA,QATAR,204000,4958163,204000,4958163
SA,SAUDI ARABIA,2731500,72514933,2731500,72514933
SG,SINGAPORE,353250,10738628,353250,10738628
AE,UNITED ARAB EMIRATES,643500,17040176,643500,17040176
US,UNITED STATES,1040200,29482633,1040200,29482633
VN,VIETNAM,150,25209,150,25209
SUM,SUM,5714918,166668602,5714918,166668602
