"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2015', 'Quantity')","('Mar 2015', 'CIF (Baht)')","('Jan - Mar 2015', 'Quantity')","('Jan - Mar 2015', 'CIF (Baht)')"
AU,AUSTRALIA,3,1448,203,49219
AT,AUSTRIA,194,235773,261,303510
BE,BELGIUM,82,26800,49544,7855021
CA,CANADA,0,0,2000,324978
CN,CHINA,255050,14898213,535657,29523186
FR,FRANCE,23428,1635860,67548,4996559
DE,GERMANY,480,143951,12038,3648459
IN,INDIA,1000,70718,82305,3226612
ID,INDONESIA,18,3000,22118,2382428
IL,ISRAEL,1200,180366,3600,563580
IT,ITALY,1438,127919,6349,551810
JP,JAPAN,167434,32326106,389539,76243975
KR,"KOREA,REPUBLIC OF",422540,28641594,1121030,75267462
MY,MALAYSIA,184630,16335147,584081,46839979
MX,MEXICO,20412,1331023,20412,1331023
NL,NETHERLANDS,152497,14665078,412499,39493460
SA,SAUDI ARABIA,198000,7446120,1064250,45381079
SG,SINGAPORE,55200,6920015,270368,45107079
ES,SPAIN,10725,965474,70675,6110378
CH,SWITZERLAND,0,0,1000,740679
TW,"TAIWAN, PROVINCE OF CHINA",83941,4787572,333704,20701322
TH,THAILAND,0,0,1500,195307
GB,UNITED KINGDOM,0,0,16000,2986585
US,UNITED STATES,40815,5365583,100858,13810059
VN,VIETNAM,9000,4899070,27500,9427223
SUM,SUM,1628087,141006830,5195039,437060972
