"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
BE,BELGIUM,12000,1329257,36000,3859378
CN,CHINA,2120,119429,4196,244584
DE,GERMANY,1000,539045,1100,578409
JP,JAPAN,136,64208,17136,1386126
SG,SINGAPORE,288000,8314446,480000,13599050
SE,SWEDEN,14000,1485683,14000,1485683
AE,UNITED ARAB EMIRATES,49500,1551913,74200,2322401
GB,UNITED KINGDOM,2000,232425,3450,401586
US,UNITED STATES,52707,2503856,303262,21647556
SUM,SUM,421463,16140262,933344,45524773
