"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
CN,CHINA,12001,956063,12001,956063
FR,FRANCE,2000,435112,2000,435112
JP,JAPAN,23181,3901567,23181,3901567
KR,"KOREA,REPUBLIC OF",98000,5308446,98000,5308446
MY,MALAYSIA,50,24003,50,24003
SG,SINGAPORE,25500,1230610,25500,1230610
ES,SPAIN,25,46246,25,46246
TW,"TAIWAN, PROVINCE OF CHINA",100,31410,100,31410
US,UNITED STATES,2,38790,2,38790
SUM,SUM,160859,11972247,160859,11972247
