"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
BE,BELGIUM,130335,7352907,449535,24871863
CA,CANADA,0,0,42400,2479953
CN,CHINA,213880,10938522,542825,23355201
DE,GERMANY,0,0,10016,876071
IN,INDIA,75,18224,125,35103
IT,ITALY,500,672203,20050,3358435
JP,JAPAN,181000,12415227,596917,38849706
KR,"KOREA,REPUBLIC OF",593712,31059624,1830152,96384775
MY,MALAYSIA,198100,9209289,450190,21636320
SA,SAUDI ARABIA,173250,7897037,618750,28907361
SG,SINGAPORE,216000,11530665,229600,12448861
TW,"TAIWAN, PROVINCE OF CHINA",359210,19003476,744350,40084901
AE,UNITED ARAB EMIRATES,210000,10215366,366900,17916034
GB,UNITED KINGDOM,9701,1227063,9701,1227063
US,UNITED STATES,281631,16377173,556918,33953664
VN,VIETNAM,1020,125844,2420,215636
SUM,SUM,2568414,138042620,6470849,346600947
