"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'CIF (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'CIF (Baht)')"
CN,CHINA,4200,487405,40885,4090866
FI,FINLAND,11000,698539,11000,698539
DE,GERMANY,0,0,400,14496
HK,HONG KONG,0,0,615,43950
JP,JAPAN,486000,29167000,1654650,115333936
KR,"KOREA,REPUBLIC OF",26000,1952905,279000,17419345
MY,MALAYSIA,0,0,20000,1288308
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11000,1064361
AE,UNITED ARAB EMIRATES,622000,31579695,989550,49947563
US,UNITED STATES,20650,907721,614076,38419487
VN,VIETNAM,0,0,202500,12853792
SUM,SUM,1169850,64793265,3823676,241174643
