"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2013', 'Quantity')","('Aug 2013', 'CIF (Baht)')","('Jan - Aug 2013', 'Quantity')","('Jan - Aug 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1008,52978
BE,BELGIUM,0,0,250,102225
CA,CANADA,60500,3194112,60500,3194112
CN,CHINA,5250,364200,15250,999305
DE,GERMANY,0,0,5950,598164
ID,INDONESIA,8800,786784,121375,9808292
IL,ISRAEL,0,0,3640,600408
JP,JAPAN,33000,1918108,96523,4841093
KR,"KOREA,REPUBLIC OF",200,10894,200,10894
KW,KUWAIT,123750,5508541,1212750,51173085
MY,MALAYSIA,1222000,57196894,8303500,369262595
QA,QATAR,51000,2365439,1377000,57197621
SA,SAUDI ARABIA,2070250,94292023,20044500,872593680
SG,SINGAPORE,502500,23975128,2435225,115173848
ES,SPAIN,0,0,11000,1036520
AE,UNITED ARAB EMIRATES,371050,18042103,5047700,224323270
US,UNITED STATES,194375,11855489,1105575,69982327
SUM,SUM,4642675,219509715,39841946,1780950417
