"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'CIF (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'CIF (Baht)')"
AU,AUSTRALIA,75,12587,7943,461691
BE,BELGIUM,175725,6666543,939600,35398652
BR,BRAZIL,0,0,26050,2293224
CA,CANADA,50000,1287474,250600,6465027
CN,CHINA,0,0,1041000,54018262
CZ,CZECH REPUBLIC,0,0,3,2297
DE,GERMANY,120,39535,45105,2140827
IN,INDIA,0,0,233000,6791832
ID,INDONESIA,862300,25670069,4147726,145504562
IL,ISRAEL,0,0,26540,1785168
JP,JAPAN,36150,4772445,594397,54822167
KR,"KOREA,REPUBLIC OF",22750,716882,361125,12633181
KW,KUWAIT,519750,13707129,2549250,64129303
LA,LAO PDR,0,0,30000,473436
MY,MALAYSIA,105000,3016812,1102575,31221373
QA,QATAR,178500,5130375,2575500,66253654
SA,SAUDI ARABIA,2592450,72226073,28027175,750124698
SG,SINGAPORE,140750,5493367,2348550,78663135
ZA,SOUTH AFRICA,0,0,173250,5234655
CH,SWITZERLAND,0,0,359,80117
TW,"TAIWAN, PROVINCE OF CHINA",0,0,8127,6422391
TH,THAILAND,0,0,82554,2740244
AE,UNITED ARAB EMIRATES,1290750,36539240,9076400,245689417
US,UNITED STATES,779252,22691067,10280719,305869176
VN,VIETNAM,5,747,71291,2230809
SUM,SUM,6753577,197970345,63998839,1881449298
