"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
BE,BELGIUM,79575,4326288,741425,42630521
BR,BRAZIL,0,0,1100,174632
CA,CANADA,0,0,42400,2479953
CN,CHINA,127500,6250053,1066117,48129178
DE,GERMANY,74,34045,10485,985252
IN,INDIA,50,14456,1675,750799
IT,ITALY,54370,4177404,162959,15375877
JP,JAPAN,187869,11940318,1090730,70845587
KR,"KOREA,REPUBLIC OF",643200,34289557,3524443,186185859
MY,MALAYSIA,33173,2185211,701243,35266359
SA,SAUDI ARABIA,148500,7124731,915750,43025057
SG,SINGAPORE,516023,28100013,1261623,70757620
SE,SWEDEN,0,0,40000,1578735
TW,"TAIWAN, PROVINCE OF CHINA",230357,12930201,1948707,105479080
AE,UNITED ARAB EMIRATES,0,0,366900,17916034
GB,UNITED KINGDOM,0,0,9701,1227063
US,UNITED STATES,10000,524029,646328,40910439
VN,VIETNAM,0,0,4220,326790
SUM,SUM,2030691,111896306,12535806,684044835
