"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'CIF (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,25,10831
BE,BELGIUM,675,145368,77925,4253899
BR,BRAZIL,406950,28834508,1515700,74215817
CA,CANADA,0,0,116650,2935163
CN,CHINA,5238,672515,225805,16754625
CZ,CZECH REPUBLIC,2,1536,2,1536
FI,FINLAND,0,0,49400,2456859
FR,FRANCE,10,8202,44010,3110781
DE,GERMANY,368454,22453151,1087860,67263891
IN,INDIA,24,10223,2024,172854
ID,INDONESIA,2500,281540,14500,2800071
IL,ISRAEL,0,0,20800,1791347
IT,ITALY,130,18902,19246,3832392
JP,JAPAN,132942,10966193,729775,57870341
KR,"KOREA,REPUBLIC OF",154300,6776639,1084471,46946308
KW,KUWAIT,173250,5705208,2400750,75542012
LU,LUXEMBOURG,0,0,30000,3334228
MY,MALAYSIA,3968160,197330448,18663312,832714213
NL,NETHERLANDS,359960,22343137,1178955,65103345
NO,NORWAY,76870,3527075,285710,13814408
QA,QATAR,1377000,58323492,5633500,223967479
SA,SAUDI ARABIA,3409320,149746104,14513270,576862425
SG,SINGAPORE,1443397,73600049,8235822,373853700
SI,SLOVENIA,0,0,1,973
ES,SPAIN,35540,2351608,193195,12835173
CH,SWITZERLAND,1,977,1,977
TW,"TAIWAN, PROVINCE OF CHINA",4175,669205,23028,2394541
TH,THAILAND,1400,14040,1400,14040
TT,TRINIDAD AND TOBAGO,0,0,23800,114775
AE,UNITED ARAB EMIRATES,420750,18177296,1905750,75276751
GB,UNITED KINGDOM,2,1516,22502,1811242
US,UNITED STATES,497182,22971860,1269806,63366994
VN,VIETNAM,100000,4458043,419002,21287898
SUM,SUM,12938232,629388835,59787997,2626711889
