"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'CIF (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'CIF (Baht)')"
AT,AUSTRIA,100,37010,100,37010
BE,BELGIUM,2500,325550,2500,325550
CN,CHINA,300012,16302463,300012,16302463
DE,GERMANY,22450,2424177,22450,2424177
HK,HONG KONG,8475,1283787,8475,1283787
JP,JAPAN,198045,30466387,198045,30466387
KR,"KOREA,REPUBLIC OF",378552,28590756,378552,28590756
MY,MALAYSIA,22084,1801697,22084,1801697
NL,NETHERLANDS,50500,3608691,50500,3608691
NO,NORWAY,6,4311,6,4311
QA,QATAR,795750,34640390,795750,34640390
SA,SAUDI ARABIA,293850,12048268,293850,12048268
SG,SINGAPORE,2003700,93153864,2003700,93153864
ES,SPAIN,22002,2014615,22002,2014615
TW,"TAIWAN, PROVINCE OF CHINA",139174,9286363,139174,9286363
GB,UNITED KINGDOM,7350,1392724,7350,1392724
US,UNITED STATES,813130,48690888,813130,48690888
VN,VIETNAM,66125,4859886,66125,4859886
SUM,SUM,5123805,290931827,5123805,290931827
