"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'CIF (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16010,716698
BE,BELGIUM,169980,11846716,2646180,175261140
BR,BRAZIL,389000,40089560,2246150,215254061
BG,BULGARIA,170000,11848109,170000,11848109
CA,CANADA,0,0,39109,3002350
CN,CHINA,120500,7804638,1677433,90309949
CZ,CZECH REPUBLIC,0,0,6,3350
FR,FRANCE,24750,2283565,595810,42133373
DE,GERMANY,84938,11197259,289974,66564523
GH,GHANA,0,0,100,91758
IN,INDIA,200,6919,9250,451530
ID,INDONESIA,60000,3621571,278550,14833988
IL,ISRAEL,10,6598,10,6598
IT,ITALY,208020,20102059,2670690,191325182
JP,JAPAN,668294,42167610,6644493,415047987
KR,"KOREA,REPUBLIC OF",753000,36286147,8753235,405691386
KW,KUWAIT,74250,3374452,1361250,60442229
MY,MALAYSIA,264250,13031276,3488025,157158795
NL,NETHERLANDS,2000,437156,4000,806630
NO,NORWAY,0,0,120280,9363063
OM,OMAN,371250,15907924,1905750,82873565
PH,PHILIPPINES,0,0,100,6094
QA,QATAR,1955640,98220467,9470920,441964157
RU,RUSSIAN FEDERATION,0,0,445500,17575609
SA,SAUDI ARABIA,1232250,56497778,7032299,319261350
SG,SINGAPORE,713000,35909047,8391225,402249303
ZA,SOUTH AFRICA,0,0,250,43352
TW,"TAIWAN, PROVINCE OF CHINA",277200,15649272,1496126,82587310
TH,THAILAND,6,3114,59009,2909393
AE,UNITED ARAB EMIRATES,176000,9243546,2127125,105036412
GB,UNITED KINGDOM,0,0,31,22473
US,UNITED STATES,832667,54696978,8460472,503793791
VN,VIETNAM,0,0,224,12221
SUM,SUM,8547205,490231761,70399586,3818647729
