"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'CIF (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,1169800,52182575
BR,BRAZIL,0,0,49700,1945580
CA,CANADA,50000,1822098,448200,16079342
CN,CHINA,400,8283,1218641,57375439
FR,FRANCE,0,0,163810,13210853
DE,GERMANY,0,0,1,389
IN,INDIA,8000,755389,537350,21972340
ID,INDONESIA,55875,4711926,580240,48902287
IL,ISRAEL,0,0,28200,1906719
JP,JAPAN,55400,2494441,929113,84178782
KR,"KOREA,REPUBLIC OF",57700,2914337,634100,29875821
KW,KUWAIT,74250,2681383,1138500,42497924
MY,MALAYSIA,0,0,933950,41717796
NL,NETHERLANDS,0,0,264750,11821466
QA,QATAR,433500,15815057,4411500,166882228
SA,SAUDI ARABIA,2462400,92537719,36415650,1418080930
SG,SINGAPORE,544500,22181927,9393050,393005263
ES,SPAIN,0,0,303307,12633368
TW,"TAIWAN, PROVINCE OF CHINA",0,0,5110,230328
TH,THAILAND,0,0,296000,11309235
AE,UNITED ARAB EMIRATES,640650,24765433,7785700,312783704
US,UNITED STATES,173600,6856942,2493371,110491739
VN,VIETNAM,0,0,5,946
SUM,SUM,4556275,177544935,69200048,2849085054
