"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'CIF (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'CIF (Baht)')"
AT,AUSTRIA,4125,246390,10395,755405
BE,BELGIUM,53651,2189709,88371,3591778
BR,BRAZIL,24750,900707,24750,900707
CN,CHINA,317683,18673440,619258,38008053
FI,FINLAND,23375,1149011,46750,2308703
HK,HONG KONG,3,673,3,673
HU,HUNGARY,0,0,2750,198459
IN,INDIA,2000,202221,3000,304215
ID,INDONESIA,5000,428328,5000,428328
IL,ISRAEL,24000,1513938,48000,3030400
JP,JAPAN,518518,28474294,993777,57599880
KR,"KOREA,REPUBLIC OF",1302250,52752050,2680900,106454566
MY,MALAYSIA,61469,4587835,134767,9349302
OM,OMAN,49500,1486549,321750,9582662
SA,SAUDI ARABIA,3014000,108307559,5325000,188320243
SG,SINGAPORE,743231,32343042,1374255,60187220
ZA,SOUTH AFRICA,24750,847856,24780,853933
ES,SPAIN,2750,228791,2750,228791
TW,"TAIWAN, PROVINCE OF CHINA",96500,5185604,198550,12254942
TH,THAILAND,33150,1455336,403650,17747949
AE,UNITED ARAB EMIRATES,198200,7403768,198500,7416466
US,UNITED STATES,112031,4013610,152401,6814975
VN,VIETNAM,50,5720,50,5720
SUM,SUM,6610986,272396431,12659407,526343370
