"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'CIF (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'CIF (Baht)')"
AT,AUSTRIA,0,0,22000,2866380
BE,BELGIUM,0,0,24000,4073814
CN,CHINA,32000,1838939,57975,4368044
FI,FINLAND,11000,847171,11000,847171
FR,FRANCE,27,27426,27,27426
DE,GERMANY,0,0,50000,4899775
IN,INDIA,6,693,6,693
IT,ITALY,81,33939,81,33939
JP,JAPAN,3000,178504,3100,184870
KR,"KOREA,REPUBLIC OF",134000,11392357,316603,28182101
SE,SWEDEN,170000,19419166,210000,24108952
AE,UNITED ARAB EMIRATES,149500,6235388,201500,8564882
US,UNITED STATES,69502,4593823,138554,11090637
SUM,SUM,569116,44567406,1034846,89248684
