"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2013', 'Quantity')","('Mar 2013', 'CIF (Baht)')","('Jan - Mar 2013', 'Quantity')","('Jan - Mar 2013', 'CIF (Baht)')"
AT,AUSTRIA,1375,103145,1375,103145
BE,BELGIUM,24000,2016409,48000,4378407
CN,CHINA,88000,4990614,88000,4990614
FI,FINLAND,0,0,7000,759889
IN,INDIA,72000,3975208,72000,3975208
JP,JAPAN,212000,13960036,589000,44128529
KR,"KOREA,REPUBLIC OF",560000,34719221,1205000,73812513
MY,MALAYSIA,10000,717145,90000,6206669
SE,SWEDEN,107600,9043537,344900,25339303
TW,"TAIWAN, PROVINCE OF CHINA",22015,1818165,22015,1818165
AE,UNITED ARAB EMIRATES,75400,3413192,126100,5688151
US,UNITED STATES,113787,9475936,373117,26135348
VN,VIETNAM,80100,5084591,102100,6471650
SUM,SUM,1366277,89317199,3068607,203807591
