"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'CIF (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'CIF (Baht)')"
BE,BELGIUM,269050,21346394,269050,21346394
CN,CHINA,438254,24851645,438254,24851645
FR,FRANCE,135635,10845789,135635,10845789
DE,GERMANY,20913,5253484,20913,5253484
IN,INDIA,125,4375,125,4375
ID,INDONESIA,5250,578245,5250,578245
JP,JAPAN,1161304,115936031,1161304,115936031
KR,"KOREA,REPUBLIC OF",2244875,94836818,2244875,94836818
MY,MALAYSIA,41500,1760735,41500,1760735
MX,MEXICO,680,63543,680,63543
NL,NETHERLANDS,49500,3941258,49500,3941258
SA,SAUDI ARABIA,969900,37046035,969900,37046035
SG,SINGAPORE,3231945,153433431,3231945,153433431
ES,SPAIN,10095,1307243,10095,1307243
TW,"TAIWAN, PROVINCE OF CHINA",76500,3534052,76500,3534052
AE,UNITED ARAB EMIRATES,902050,30917574,902050,30917574
US,UNITED STATES,4,1740,4,1740
VN,VIETNAM,457275,16148926,457275,16148926
SUM,SUM,10014855,521807318,10014855,521807318
