"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'CIF (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'CIF (Baht)')"
AT,AUSTRIA,50,37222,50,37222
BE,BELGIUM,103610,4215501,103610,4215501
CN,CHINA,127251,7369739,127251,7369739
FR,FRANCE,200,36242,200,36242
DE,GERMANY,105760,6892775,105760,6892775
IN,INDIA,2,253,2,253
ID,INDONESIA,31850,2860931,31850,2860931
IT,ITALY,2750,181134,2750,181134
JP,JAPAN,980613,55135458,980613,55135458
KR,"KOREA,REPUBLIC OF",2551500,101207494,2551500,101207494
MY,MALAYSIA,23700,2209980,23700,2209980
NL,NETHERLANDS,63250,4333685,63250,4333685
SA,SAUDI ARABIA,445500,16379288,445500,16379288
SG,SINGAPORE,4014992,166902561,4014992,166902561
TW,"TAIWAN, PROVINCE OF CHINA",31100,1351219,31100,1351219
AE,UNITED ARAB EMIRATES,286225,10448277,286225,10448277
US,UNITED STATES,1427,493055,1427,493055
VN,VIETNAM,125000,4580224,125000,4580224
SUM,SUM,8894780,384635038,8894780,384635038
