"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'CIF (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7500,547429
AT,AUSTRIA,11000,683439,15125,934512
BE,BELGIUM,17700,614913,349310,14694939
CN,CHINA,166500,10295444,1621445,104603290
DE,GERMANY,22500,899401,100426,4907406
HK,HONG KONG,0,0,100,15301
IN,INDIA,0,0,3400,337870
ID,INDONESIA,22000,1610806,113722,8809045
IL,ISRAEL,6000,399516,45240,2998320
IT,ITALY,0,0,60,41728
JP,JAPAN,272828,16768392,2443222,154897350
KR,"KOREA,REPUBLIC OF",763575,27552153,5903100,219337446
MY,MALAYSIA,53200,3654499,1637112,65432533
MX,MEXICO,0,0,6800,603838
OM,OMAN,0,0,420750,11141343
SA,SAUDI ARABIA,782500,23749054,9243130,273585219
SG,SINGAPORE,625790,21541334,4474028,159181390
ZA,SOUTH AFRICA,99000,2586338,123750,3229618
ES,SPAIN,0,0,16575,1355766
TW,"TAIWAN, PROVINCE OF CHINA",49000,2144540,459937,18434082
TH,THAILAND,0,0,40250,1655352
AE,UNITED ARAB EMIRATES,74250,2483830,669375,20584657
US,UNITED STATES,2500,208917,272867,18205132
VN,VIETNAM,16600,558380,16600,558380
SUM,SUM,2984943,115750956,27983824,1086091946
