"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'CIF (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'CIF (Baht)')"
AU,AUSTRALIA,2257,167158,2649,327483
AT,AUSTRIA,0,0,37125,2371821
BE,BELGIUM,0,0,716195,54770744
BR,BRAZIL,99000,4781315,99050,4810518
CA,CANADA,0,0,77760,2630712
CN,CHINA,2600,280164,380545,25768427
CO,COLOMBIA,0,0,26,17637
CZ,CZECH REPUBLIC,0,0,50,9278
EG,EGYPT,149,20061,449,40683
FI,FINLAND,49500,2691703,615750,32172924
FR,FRANCE,2750,458088,2750,458088
DE,GERMANY,132556,9451988,1776817,117605359
HK,HONG KONG,0,0,24750,942978
IN,INDIA,0,0,1,165
ID,INDONESIA,4525,2563269,18320,7350681
IT,ITALY,0,0,12870,463835
JP,JAPAN,367392,26684504,3823961,255469928
KR,"KOREA,REPUBLIC OF",329000,20476190,2350768,138761526
KW,KUWAIT,346500,16076212,3143250,135978090
MY,MALAYSIA,1797850,86604258,18742311,869491627
NL,NETHERLANDS,312230,19378741,2334045,134305790
PH,PHILIPPINES,5,1047,866,97795
QA,QATAR,357000,16968034,4768500,207343874
SA,SAUDI ARABIA,2112750,96881315,20882923,916957709
SG,SINGAPORE,2382310,119413650,20578802,996495119
ES,SPAIN,0,0,164000,16173013
LK,SRI LANKA,0,0,29,5312
SE,SWEDEN,0,0,9625,630146
CH,SWITZERLAND,120,89927,36810,7382713
TW,"TAIWAN, PROVINCE OF CHINA",800,158338,29700,2241429
TH,THAILAND,0,0,1825,122983
AE,UNITED ARAB EMIRATES,23080,579022,1477872,61640638
GB,UNITED KINGDOM,0,0,29199,1226280
US,UNITED STATES,235902,15107238,1250188,101383683
VN,VIETNAM,0,0,29750,3302012
SUM,SUM,8558276,438832222,83419531,4098751000
