"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'CIF (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,33000,1931846
AT,AUSTRIA,0,0,6875,428296
BE,BELGIUM,99220,5233714,979445,53123616
BR,BRAZIL,74000,6756379,222550,21111813
KH,CAMBODIA,0,0,5,1814
CA,CANADA,0,0,19061,1985482
CN,CHINA,16907,1526396,250742,17019645
DK,DENMARK,0,0,39,20651
EC,ECUADOR,0,0,100,64449
FI,FINLAND,0,0,24750,1586951
DE,GERMANY,4600,1544213,44043,32009178
HK,HONG KONG,0,0,19250,650948
IN,INDIA,12000,1068149,18025,1607254
ID,INDONESIA,0,0,66215,3357901
IT,ITALY,0,0,146875,10175142
JP,JAPAN,1540365,78565589,12833600,636407541
KR,"KOREA,REPUBLIC OF",7525,532955,1403760,62468926
KW,KUWAIT,594000,23658933,4702500,188964681
MY,MALAYSIA,1047500,44641283,2569528,112689995
NL,NETHERLANDS,25,4688,24775,2208539
NO,NORWAY,0,0,2040,312083
PK,PAKISTAN,0,0,52,7678
QA,QATAR,1070840,43616246,6517840,269177054
SA,SAUDI ARABIA,3192750,129102502,27280300,1076411487
SG,SINGAPORE,1756415,77831136,21347605,938493216
SE,SWEDEN,0,0,6,3913
CH,SWITZERLAND,0,0,102580,6402159
TW,"TAIWAN, PROVINCE OF CHINA",26730,1000386,263330,10758485
TH,THAILAND,0,0,40,15717
TR,TÜRKIYE,0,0,5200,485248
AE,UNITED ARAB EMIRATES,729100,29824357,6942814,281559111
US,UNITED STATES,5107,929492,1757739,87558544
VN,VIETNAM,800,39677,800,39677
SUM,SUM,10177884,445876095,87585484,3819039040
