"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
AT,AUSTRIA,291,430484,475,706188
BE,BELGIUM,200,190257,2150,367631
BZ,BELIZE,0,0,191,65750
BR,BRAZIL,191,67499,1948,262794
CA,CANADA,32,329715,77,845589
CN,CHINA,138450,8871516,298950,17519095
FR,FRANCE,25266,1578327,40387,3046755
DE,GERMANY,11786,3171465,62395,10125041
HK,HONG KONG,4800,1237478,12800,3286366
IN,INDIA,0,0,3,202
IL,ISRAEL,0,0,2000,61164
IT,ITALY,380,46822,380,46822
JP,JAPAN,460845,42795099,736356,94533684
KR,"KOREA,REPUBLIC OF",356890,18011100,1975585,93794733
MY,MALAYSIA,87240,5815557,248343,16476341
NL,NETHERLANDS,60,15727,262064,20807826
NO,NORWAY,0,0,2,358
SA,SAUDI ARABIA,121000,4399387,355750,12039754
SG,SINGAPORE,45377,4912452,98865,9510900
TW,"TAIWAN, PROVINCE OF CHINA",16756,1271600,64815,6152137
TH,THAILAND,0,0,10100,803939
AE,UNITED ARAB EMIRATES,321750,11146630,1089000,35934521
US,UNITED STATES,128345,16569056,293172,41441001
VN,VIETNAM,1500,114992,17550,1228369
SUM,SUM,1721159,120975163,5573358,369056960
