"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'CIF (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'CIF (Baht)')"
BR,BRAZIL,0,0,1375,171691
CN,CHINA,4000,291980,67006,3718510
HK,HONG KONG,200,121926,400,237816
IN,INDIA,50,58064,50,58064
JP,JAPAN,4725,950650,162488,12520000
KR,"KOREA,REPUBLIC OF",54,17763,54,17763
SA,SAUDI ARABIA,0,0,1163250,54078790
AE,UNITED ARAB EMIRATES,0,0,74100,3739827
US,UNITED STATES,0,0,74250,4432914
SUM,SUM,9029,1440383,1542973,78975375
