"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2019', 'Quantity')","('Oct 2019', 'CIF (Baht)')","('Jan - Oct 2019', 'Quantity')","('Jan - Oct 2019', 'CIF (Baht)')"
BE,BELGIUM,24000,2508902,144000,15333321
CN,CHINA,0,0,1975,166823
DE,GERMANY,1000,298028,1000,298092
JP,JAPAN,8000,501533,99334,6488062
KR,"KOREA,REPUBLIC OF",0,0,73500,5532453
LA,LAO PDR,0,0,11,9800
SA,SAUDI ARABIA,0,0,550,21560
SG,SINGAPORE,0,0,3792000,136347621
TW,"TAIWAN, PROVINCE OF CHINA",0,0,22060,1030909
AE,UNITED ARAB EMIRATES,24700,864484,763450,30381147
GB,UNITED KINGDOM,0,0,3475,442385
US,UNITED STATES,157983,8569634,1426987,94249803
SUM,SUM,215683,12742581,6328342,290301976
