"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'CIF (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'CIF (Baht)')"
BD,BANGLADESH,50,1694,50,1694
BE,BELGIUM,148700,9037393,978626,63186052
CA,CANADA,17000,1198544,133720,8294734
CN,CHINA,149101,8030223,748522,42859770
DE,GERMANY,2,1405,20142,1770084
HK,HONG KONG,0,0,9,1875
IN,INDIA,1060,482845,3060,620690
IT,ITALY,24891,2900576,76111,9564756
JP,JAPAN,99583,10298528,1042220,77190748
KR,"KOREA,REPUBLIC OF",274000,13476517,3099196,167279382
LA,LAO PDR,0,0,4,11613
MY,MALAYSIA,68040,4550183,941491,41918352
MX,MEXICO,0,0,6577,1212883
SA,SAUDI ARABIA,247500,10351244,1287000,61164537
SG,SINGAPORE,0,0,143655,6417924
TW,"TAIWAN, PROVINCE OF CHINA",84015,4337025,835352,51433849
GB,UNITED KINGDOM,5414,934517,6018,1388568
US,UNITED STATES,56175,3779261,841445,47166636
VN,VIETNAM,0,0,212730,3072730
SUM,SUM,1175531,69379955,10375928,584556877
