"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2013', 'Quantity')","('Jul 2013', 'CIF (Baht)')","('Jan - Jul 2013', 'Quantity')","('Jan - Jul 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,10000,942780
CN,CHINA,0,0,40600,3178381
IT,ITALY,0,0,36075,5087184
KR,"KOREA,REPUBLIC OF",83462,6214241,320805,24113381
MY,MALAYSIA,1000,96205,3000,278275
PH,PHILIPPINES,0,0,3000,551862
ES,SPAIN,1148,28323,1148,28323
GB,UNITED KINGDOM,0,0,34605,2885631
US,UNITED STATES,0,0,10000,1067183
VN,VIETNAM,0,0,2400,567314
SUM,SUM,85610,6338769,461633,38700314
