"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'CIF (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,11000,781871
AT,AUSTRIA,68750,4738335,115500,7950805
BE,BELGIUM,0,0,12000,1329030
CN,CHINA,110000,6555548,120500,7735145
FI,FINLAND,4000,444652,8000,893476
JP,JAPAN,186000,15738868,565000,46904564
KR,"KOREA,REPUBLIC OF",120000,7822714,1099000,68841815
MY,MALAYSIA,30000,1937638,285000,18001559
PH,PHILIPPINES,0,0,500,82513
SA,SAUDI ARABIA,24750,1055526,24750,1055526
SG,SINGAPORE,0,0,2900,241978
SE,SWEDEN,26000,15254077,136250,23801192
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11000,934846
AE,UNITED ARAB EMIRATES,36400,1687358,602250,28296341
US,UNITED STATES,117390,9688747,599222,46455455
VN,VIETNAM,33000,1992657,222000,13451706
SUM,SUM,756290,66916120,3814872,266757822
