"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'CIF (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'CIF (Baht)')"
AU,AUSTRALIA,100,16296,576,205436
BE,BELGIUM,108012,4865378,409530,19485314
CN,CHINA,1177482,58269155,2065853,113199807
FI,FINLAND,0,0,7116,465175
FR,FRANCE,100,24202,7100,813044
DE,GERMANY,6913,2171674,15913,4963453
IN,INDIA,812790,28011038,1385290,49374614
ID,INDONESIA,36675,5249804,60781,7070165
IL,ISRAEL,18000,1593509,18000,1593509
IT,ITALY,1800,270540,2801,371976
JP,JAPAN,1493665,107139339,3188205,207103174
KR,"KOREA,REPUBLIC OF",1430575,66426238,2702476,129379451
KW,KUWAIT,0,0,50,17832
MY,MALAYSIA,138564,15558672,212690,27914968
NL,NETHERLANDS,49500,4688721,148500,14027141
PH,PHILIPPINES,50,10189,50,10189
QA,QATAR,0,0,16500,695900
SA,SAUDI ARABIA,5414006,180085162,10652246,356183697
SG,SINGAPORE,2182949,102067656,3738281,178766973
ZA,SOUTH AFRICA,99000,3209970,198000,6909421
SE,SWEDEN,0,0,25000,956625
TW,"TAIWAN, PROVINCE OF CHINA",75450,4279760,149275,7590287
AE,UNITED ARAB EMIRATES,123900,4110985,371800,12547257
US,UNITED STATES,58213,3542278,161916,12808441
VN,VIETNAM,1602,511137,84366,3387000
SUM,SUM,13229346,592101703,25622315,1155840849
