"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'CIF (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'CIF (Baht)')"
AU,AUSTRALIA,900,359144,1029870,33434077
AT,AUSTRIA,0,0,3365,1188740
BE,BELGIUM,0,0,1375,112675
CN,CHINA,765703,49068502,4837245,279945861
CO,COLOMBIA,0,0,17677,217697
DK,DENMARK,0,0,30,9523
FI,FINLAND,23375,1174566,163625,7999977
FR,FRANCE,360,92902,3830,477304
DE,GERMANY,8000,712110,34735,3410277
HK,HONG KONG,0,0,1008,246528
IN,INDIA,38000,1738329,649723,19105965
ID,INDONESIA,30100,2159864,333160,22895496
IL,ISRAEL,0,0,15020,1004280
IT,ITALY,0,0,5053,360618
JP,JAPAN,431862,34019741,4595026,338297235
KR,"KOREA,REPUBLIC OF",1322650,51567369,11909848,485129245
MY,MALAYSIA,64001,5933521,1141926,74441050
MX,MEXICO,0,0,25,96070
NL,NETHERLANDS,49500,4024308,357786,29662297
NZ,NEW ZEALAND,0,0,912,478008
OM,OMAN,297000,8813517,1260125,36579053
PH,PHILIPPINES,0,0,12,2882
PL,POLAND,0,0,182397,2602254
SA,SAUDI ARABIA,1831650,55632581,12048950,361516877
SG,SINGAPORE,403874,22902727,4237972,221749883
ZA,SOUTH AFRICA,0,0,24751,734776
CH,SWITZERLAND,0,0,100,28173
TW,"TAIWAN, PROVINCE OF CHINA",384214,16171263,2272030,93861530
TH,THAILAND,0,0,104500,2574912
AE,UNITED ARAB EMIRATES,965250,27968837,7512844,219233946
GB,UNITED KINGDOM,6000,549947,13075,1805063
US,UNITED STATES,441054,13680853,483323,16984289
VN,VIETNAM,50,24390,206557,9621780
SUM,SUM,7063543,296594471,53447875,2265808341
