"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'CIF (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'CIF (Baht)')"
BE,BELGIUM,0,0,130625,6191241
CN,CHINA,0,0,10588,1707910
DE,GERMANY,13,3203,14,4102
JP,JAPAN,8025,641764,38920,3833641
KR,"KOREA,REPUBLIC OF",0,0,91325,4514996
MY,MALAYSIA,6,296,40025,823650
QA,QATAR,76500,3425708,76500,3425708
SA,SAUDI ARABIA,21600,998211,179100,8200563
TW,"TAIWAN, PROVINCE OF CHINA",2500,295551,6500,768078
UA,UKRAINE,0,0,1000,45692
AE,UNITED ARAB EMIRATES,0,0,24750,951799
GB,UNITED KINGDOM,26,20747,26,20747
US,UNITED STATES,0,0,799,468099
VN,VIETNAM,0,0,1010,34873
SUM,SUM,108670,5385480,601182,30991099
