"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'CIF (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,505623,30197952
AT,AUSTRIA,0,0,1008,1082704
BE,BELGIUM,60000,12832739,265298,55785315
BG,BULGARIA,0,0,400,61280
CA,CANADA,0,0,38978,6460035
CN,CHINA,135856,6386259,2026269,118830472
CZ,CZECH REPUBLIC,0,0,17,10782
EC,ECUADOR,0,0,2,2012
FR,FRANCE,13440,1682868,268959,24824048
DE,GERMANY,1825,794927,103602,23920696
HK,HONG KONG,100,26625,164,71459
IN,INDIA,28618,700120,165582,6560992
ID,INDONESIA,0,0,68101,7071497
IE,IRELAND,0,0,200,78474
IL,ISRAEL,0,0,13400,1617671
IT,ITALY,1,971,20485,5468986
JP,JAPAN,160548,25904696,1728785,382516174
KR,"KOREA,REPUBLIC OF",325585,24906638,3216108,233642811
MY,MALAYSIA,109120,9885452,1835046,160179205
MX,MEXICO,20412,1304831,40823,2536724
NL,NETHERLANDS,130000,13052355,1564841,174953773
NZ,NEW ZEALAND,0,0,175,167012
PE,PERU,6,5106,6,5106
SA,SAUDI ARABIA,371250,19156335,3328250,170231767
SG,SINGAPORE,54936,7028451,946345,113890514
ES,SPAIN,24750,2108695,388925,32631317
CH,SWITZERLAND,0,0,1700,1321494
TW,"TAIWAN, PROVINCE OF CHINA",195567,11849196,1242235,90584212
TH,THAILAND,0,0,35675,2125437
TT,TRINIDAD AND TOBAGO,74713,940430,175858,2193943
TR,TÜRKIYE,131,68416,381,177161
AE,UNITED ARAB EMIRATES,4736,678820,156736,8583472
GB,UNITED KINGDOM,0,0,34056,6297559
US,UNITED STATES,52717,7601823,657852,85288269
VN,VIETNAM,9500,2511516,57010,13303152
SUM,SUM,1773811,149427269,18888895,1762673477
