"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'CIF (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'CIF (Baht)')"
CN,CHINA,22024,1424284,73024,4537122
FR,FRANCE,100,71639,100,71639
IN,INDIA,0,0,225,21739
IL,ISRAEL,0,0,44800,3820004
JP,JAPAN,9100,968861,33575,2733347
KR,"KOREA,REPUBLIC OF",500,63244,37000,2080415
MY,MALAYSIA,0,0,20066,501586
NL,NETHERLANDS,0,0,50,51216
QA,QATAR,25500,1455792,25500,1455792
SG,SINGAPORE,33,29363,93,112199
TW,"TAIWAN, PROVINCE OF CHINA",10000,1086502,20000,2180327
US,UNITED STATES,9072,2765773,27216,8361848
SUM,SUM,76329,7865458,281649,25927234
